opportunity,time,partition,deadline_minutes,delay_minutes,entry_bid,exit_ask,gross_executable_bps,control_bps,incremental_bps,entry_improvement_original_bps,entry_delay_ms
1769792400039_CTXSELL,2026.01.30 17:00:00,JAN_JUN,10,1,5016.71,5000.65,32.01301251218508,64.61136818347173,-32.59835567128665,-32.703047979702724,73
1769792400039_CTXSELL,2026.01.30 17:00:00,JAN_JUN,10,3,4990.6,5000.65,-20.13785917524801,64.61136818347173,-84.74922735871974,-84.57890355382335,79
1769792400039_CTXSELL,2026.01.30 17:00:00,JAN_JUN,10,5,4985.46,5000.65,-30.46860269664103,64.61136818347173,-95.07997088011275,-94.79115547458169,66
1769813100051_CTXSELL,2026.01.30 22:45:00,JAN_JUN,10,0,4861.74,4838.56,47.678403205435465,47.678403205435465,0.0,0.0,0
1769813100051_CTXSELL,2026.01.30 22:45:00,JAN_JUN,10,1,4858.04,4838.56,40.09847592856289,47.678403205435465,-7.579927276872574,-7.61044399741619,16
1769813100051_CTXSELL,2026.01.30 22:45:00,JAN_JUN,10,3,4867.73,4838.56,59.925262904884136,47.678403205435465,12.24685969944867,12.320691768790148,74
1769813100051_CTXSELL,2026.01.30 22:45:00,JAN_JUN,10,5,4863.27,4838.56,50.80943480415448,47.678403205435465,3.1310315987190123,3.1470214367708986,53
1769994300011_CTXSELL,2026.02.02 01:05:00,JAN_JUN,10,0,4828.32,4742.67,177.3908937270099,177.3908937270099,0.0,0.0,0
1769994300011_CTXSELL,2026.02.02 01:05:00,JAN_JUN,10,1,4819.05,4742.67,158.49596912254512,177.3908937270099,-18.89492460446479,-19.19922457500648,55
1769994300011_CTXSELL,2026.02.02 01:05:00,JAN_JUN,10,3,4822.2,4742.67,164.92472315540573,177.3908937270099,-12.46617057160418,-12.675216224276541,66
1769994300011_CTXSELL,2026.02.02 01:05:00,JAN_JUN,10,5,4815.44,4742.67,151.11807020749822,177.3908937270099,-26.27282351951169,-26.675945256321263,298
1770000900026_CTXSELL,2026.02.02 02:55:00,JAN_JUN,10,0,4791.37,4756.21,73.38193460325513,73.38193460325513,0.0,0.0,0
1770000900026_CTXSELL,2026.02.02 02:55:00,JAN_JUN,10,1,4779.49,4756.21,48.70812576237161,73.38193460325513,-24.673808840883524,-24.794578586083126,33
